Unidade Estratégica,Relacionamento Interpessoal,Liderança,Organização,Responsabilidade,Flexibilidade,Disponibilidade,Comunicação,Gestão de Materiais,Atualização,Conhecimento
Centro de Ciências Humanas e Naturais,5,5,4,5,4,5,5,5,4,4
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,4,5,4,5
Centro de Ciências da Saúde,5,5,5,5,4,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,4,5,4,5,4,5,5,5
Centro de Ciências da Saúde,4,4,5,5,5,4,4,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,4,5,5,4,4,5,5,4,4
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,4,5,5,4,4,4,4,4,4
Centro de Ciências Agrárias e Engenharias,4,4,5,5,5,5,5,4,4,4
Centro de Ciências Agrárias e Engenharias,5,4,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,4,4,4,4,4,4,4,4,4
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,4,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,4,4,4,4,4,4,4,4,4
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,4,4,5,5,4,4,5,5,5,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,4,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,4,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,4,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,4,5,4,5,5,4
Centro de Artes,5,4,4,4,4,4,4,4,4,4
Centro de Artes,5,4,4,4,4,4,4,4,4,4
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,4
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,4,5,4,5,5,5,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,3,3,3,3,3,1,1,5,5,2
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,4,4,4,4,4,4,5,5,5
Centro Tecnológico,5,5,5,5,4,4,5,5,5,5
Centro Tecnológico,5,4,4,4,4,5,5,5,3,4
Centro Tecnológico,5,4,4,4,4,5,5,4,4,4
Centro Tecnológico,4,3,4,4,3,3,3,5,4,4
Centro Tecnológico,4,4,4,4,5,5,5,4,4,5
Centro Tecnológico,5,4,4,4,4,4,3,4,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,4,4,4,4,5,5,4,4,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,5,5,4,5,4,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,4,5,5,5
Centro Universitário Norte do Espírito Santo,3,3,3,3,3,3,3,3,3,3
Centro Tecnológico,5,5,5,5,5,5,5,5,5,4
Centro Tecnológico,4,5,5,5,4,4,4,5,5,5
Centro Tecnológico,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,5,4,5,5,4,5,5,5,4,4
Centro Tecnológico,5,5,5,5,4,5,5,5,5,4
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,4,4,4,4,5,5,4,4,4
Centro Tecnológico,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,4,4,4,4,4,4,4,3,4,5
Centro de Ciências Agrárias e Engenharias,4,4,5,5,5,4,4,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,4,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,4,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,4,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,2,4,4,4,4,4,4,1,4,3
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,4,4,4,4,4,4,5,4,5,4
Centro de Ciências Exatas,4,4,5,5,4,5,4,4,5,4
Centro de Ciências da Saúde,5,4,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,1,3,4,4,4,3,4,4,4,2
Centro de Ciências da Saúde,4,5,4,5,4,5,5,5,5,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,4,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,4,5,5,5,5,5,5,4
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,4,5,4,4,5,5,4,4,5
Centro de Ciências da Saúde,4,3,3,3,4,3,4,4,5,3
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,4,5,5,4,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,3,3,3,3,4,3,3,4,4,3
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,5,5,4,4,5,4,4,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,4,3,3,2,3,3,2,4,4,3
Centro de Ciências Exatas,5,4,4,4,4,4,4,4,4,4
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,4,5,5,5,5,5,4,4,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,4,3,3,2,3,3,2,4,4,3
Centro de Ciências Exatas,5,5,5,5,4,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,4,3,4,4,3,4,3,4,3,4
Centro de Ciências Exatas,4,3,3,2,3,3,2,4,4,3
Centro de Ciências Exatas,5,5,5,5,5,5,4,5,4,5
Centro de Ciências Exatas,4,3,3,2,3,3,2,4,4,3
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
Centro de Ciências Jurídicas e Econômicas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Jurídicas e Econômicas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Jurídicas e Econômicas,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,4,5,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,4,4,5,5,5,4,5,5,4
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,3,3,3,4,4,4,4,4,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,4,4,5,4,4,5,4,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,4,4,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,4,5,5,5,4,5,5,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,3,4,3,3,3,2,5,4,3
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,4,4,4,4,4,4,4,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,4,3,3,4,3,3,3,3,3,3
Pró-Reitoria de Graduação,5,5,5,5,4,5,4,5,5,5
Pró-Reitoria de Graduação,4,4,5,5,4,4,3,4,5,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,4,4,4,4,4,5,4,4,4,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,4,4,4,4
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,4,5,4,5,5,5,4,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,4,5,5,5,4,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,5,5,4,5,4,5,4,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,4,5,4,4,4,4,5,4,4,4
Pró-Reitoria de Administração,5,5,5,5,5,4,4,4,5,5
Pró-Reitoria de Administração,5,4,5,5,4,5,5,5,4,4
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,4,5,5,5,5
Pró-Reitoria de Graduação,4,4,4,5,4,3,4,5,5,4
Pró-Reitoria de Graduação,4,4,5,5,4,4,4,5,5,5
Pró-Reitoria de Graduação,5,4,4,5,5,5,5,4,5,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,4,5,5,5
Pró-Reitoria de Graduação,4,4,5,4,4,4,4,5,5,4
Pró-Reitoria de Administração,4,4,5,5,4,4,4,5,5,5
Pró-Reitoria de Administração,4,3,4,4,4,3,3,4,4,4
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,4,3,5,5,5,4,2,5,5,5
Pró-Reitoria de Administração,4,1,3,3,2,1,1,5,5,4
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,4,4,4,4,3,3,3,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,4,5,5,4,4,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,4,5,5,5,4,5,5,5,4,5
Pró-Reitoria de Assuntos Estudantis e Cidadania,4,5,5,5,5,5,5,4,4,3
Pró-Reitoria de Assuntos Estudantis e Cidadania,5,4,5,5,4,5,4,5,4,4
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,4,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,4,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,3,2,3,5,5,3,5,4,5
Superintendência de Infraestrutura,4,4,4,4,4,4,4,4,4,4
Superintendência de Infraestrutura,5,5,4,4,4,5,5,5,4,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,4,4,4,5,4,5,4,4,5,3
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,4,4,3,3,3,3,4,4,4,4
Superintendência de Infraestrutura,5,4,5,5,4,5,5,4,4,5
Superintendência de Infraestrutura,5,4,4,4,4,5,4,5,5,5
Superintendência de Infraestrutura,5,4,5,5,5,5,5,5,4,5
Superintendência de Infraestrutura,5,4,5,5,4,5,5,5,5,4
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,4,4,5,4,5,4,4,5,4
Superintendência de Infraestrutura,4,3,3,4,3,4,1,3,3,3
Superintendência de Infraestrutura,4,4,4,4,4,4,4,4,4,4
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,4,5,5,4,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,4,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Extensão,5,5,5,5,5,5,5,5,5,5
Superintendência de Comunicação,5,5,4,5,5,5,5,5,5,5
Superintendência de Comunicação,5,5,5,5,5,5,5,5,5,5
Superintendência de Comunicação,5,5,5,5,5,5,5,5,5,5
Superintendência de Comunicação,4,4,4,4,4,4,4,4,4,4
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,4,5,5,5,4
Superintendência de Infraestrutura,5,5,5,5,5,4,5,5,5,4
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,4,5,5,4,4,4
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,4,4,5,5,4
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,4,5,5,4,5,5,5,4,4
Pró-Reitoria de Pesquisa e Pós-Graduação,4,3,4,3,3,3,3,4,4,3
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,4,4,4,4,4,4,4,4,4,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,4,5,5,4,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,4,4,4,4,4,4,4,4,4,4
Superintendência de Infraestrutura,3,2,2,3,2,3,3,4,3,3
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,4,4,4,4,5,5,5,5,4,4
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,4,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,4,3,4,4,4,4,4,3,3
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,4,5,4
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,4,3,5,5,4,5,4,5,3,3
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,4,3,4,4,4,5,3,4,4,4
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,4,4,4,5,4,5,4,4,4
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,4,4,3,4,5,4,5,3,3
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,4
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,4,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,4,4,5,4,4,3,5,5,5
Superintendência de Tecnologia da Informação,5,4,5,5,5,5,4,5,5,5
Superintendência de Tecnologia da Informação,3,2,2,3,3,2,1,3,3,3
Superintendência de Tecnologia da Informação,5,3,4,4,4,5,4,5,5,4
